Course ID,MTH00005
Class ID,Error
Course name,Error
Teacher,Error
Number of credits,0
Max enrolled,50
Weekday,MON
Session,7:30
Number of students,45
No,StudentID,Midterm,Final,Other,Total
1,21120021,-1,-1,-1,-1
2,21120022,-1,-1,-1,-1
3,21120023,-1,-1,-1,-1
4,21120024,-1,-1,-1,-1
5,21120025,-1,-1,-1,-1
6,21120026,-1,-1,-1,-1
7,21120027,-1,-1,-1,-1
8,21120028,-1,-1,-1,-1
9,21120029,-1,-1,-1,-1
10,21120030,-1,-1,-1,-1
11,21120031,-1,-1,-1,-1
12,21120032,-1,-1,-1,-1
13,21120033,-1,-1,-1,-1
14,21120034,-1,-1,-1,-1
15,21120035,-1,-1,-1,-1
16,21120036,-1,-1,-1,-1
17,21120037,-1,-1,-1,-1
18,21120038,-1,-1,-1,-1
19,21120039,-1,-1,-1,-1
20,21120040,-1,-1,-1,-1
21,21120041,-1,-1,-1,-1
22,21120042,-1,-1,-1,-1
23,21120043,-1,-1,-1,-1
24,21120044,-1,-1,-1,-1
25,21120045,-1,-1,-1,-1
26,21120071,-1,-1,-1,-1
27,21120072,-1,-1,-1,-1
28,21120073,-1,-1,-1,-1
29,21120074,-1,-1,-1,-1
30,21120075,-1,-1,-1,-1
31,21120076,-1,-1,-1,-1
32,21120077,-1,-1,-1,-1
33,21120078,-1,-1,-1,-1
34,21120079,-1,-1,-1,-1
35,21120080,-1,-1,-1,-1
36,21120081,-1,-1,-1,-1
37,21120082,-1,-1,-1,-1
38,21120083,-1,-1,-1,-1
39,21120084,-1,-1,-1,-1
40,21120085,-1,-1,-1,-1
41,21120086,-1,-1,-1,-1
42,21120087,-1,-1,-1,-1
43,21120088,-1,-1,-1,-1
44,21120089,-1,-1,-1,-1
45,21120090,-1,-1,-1,-1
