Course ID,PHY00005
Class ID,Error
Course name,Error
Teacher,Error
Number of credits,0
Max enrolled,50
Weekday,MON
Session,7:30
Number of students,45
No,StudentID,Midterm,Final,Other,Total
1,21120021,3.5,2.8,8.3,3.2
2,21120022,2.3,2.8,1.1,9.4
3,21120023,9.2,6.1,9.4,5.1
4,21120024,1.6,2.2,9.2,9.2
5,21120025,5.9,4.8,8.8,3
6,21120026,8.5,7.1,8.7,8.6
7,21120027,9,2.6,1.4,7.5
8,21120028,2.3,5.4,3.1,9.5
9,21120029,9.6,4.6,7.1,2.8
10,21120030,4.3,5.3,8.3,8.5
11,21120031,6.5,3.7,5.1,7.4
12,21120032,9,8.9,1.5,9.9
13,21120033,4,7.7,3.5,9
14,21120034,8.4,2.5,2.5,3.4
15,21120035,6.2,6.9,1.2,4.5
16,21120036,1.3,4.2,10,8.4
17,21120037,4.7,6.2,6.1,4.5
18,21120038,8.2,3.6,2.3,5.8
19,21120039,6.2,9.5,5.7,4.8
20,21120040,1.3,5.8,9.6,3.2
21,21120041,3.6,3.1,5,1.3
22,21120042,7.9,6.3,9.4,8.8
23,21120043,8.9,7.2,5.9,3.9
24,21120044,3.4,4,5.5,2.1
25,21120045,1.7,6,4.8,7.7
26,21120071,9.2,3,5.5,4.4
27,21120072,1.6,3.4,3.1,2.1
28,21120073,1.7,2.2,8,4.2
29,21120074,4.5,3.6,4.2,5.4
30,21120075,6.3,2.9,9.7,4.6
31,21120076,4.4,7.8,2.6,2.6
32,21120077,7,2.6,6.4,1.4
33,21120078,6.6,6.4,1.3,6
34,21120079,1.5,5.8,2.3,4.7
35,21120080,6.7,3,6,8.2
36,21120081,4.8,6.7,1.6,5.2
37,21120082,4.8,9.2,2.4,1.4
38,21120083,7.5,2.9,3.3,1.5
39,21120084,8.5,5.5,6,6.8
40,21120085,5.2,5.9,6.9,6.3
41,21120086,1.5,6.2,4,6.5
42,21120087,2.1,2.6,2.1,8.9
43,21120088,8.1,1.9,2.1,8.7
44,21120089,1.2,2.3,1.8,7.3
45,21120090,3.4,10,8.3,4
