Classname,21CLC01
Number of students,45
No,StudentID
1,21120001
2,21120002
3,21120003
4,21120004
5,21120005
6,21120006
7,21120007
8,21120008
9,21120009
10,21120010
11,21120011
12,21120012
13,21120013
14,21120014
15,21120015
16,21120016
17,21120017
18,21120018
19,21120019
20,21120020
21,21120021
22,21120022
23,21120023
24,21120024
25,21120025
26,21120026
27,21120027
28,21120028
29,21120029
30,21120030
31,21120031
32,21120032
33,21120033
34,21120034
35,21120035
36,21120036
37,21120037
38,21120038
39,21120039
40,21120040
41,21120041
42,21120042
43,21120043
44,21120044
45,21120045
